key,value1,value2,value3
0xF2DB86caa45fF36Bd4B8227A9E567aF65B89bAA2,12800,4266.666667,2133.333333
0x14eF0D62DB495A7A6b908e349b780A24eea25Bdc,12800,4266.666667,2133.333333
0x8B979FDA938A0A84d87215DC7bA94903a07e34d1,12479.68,3093.226667,1546.613333
0xE58E92d1eB352113cE784A4B9B1C3aC67dccD098,12437.70831,0,0
0xDBa638b44224225d922235A2E14A38F7882AD1e4,11843.52,0,0
0x61F3A58D607a2fb93fE8e29d0A188fD4E97A2EfA,11840,3946.666667,1973.333333
0xc16ad505002b5aCCeE6fc73211f590F7328aeE78,11227.84,3742.613333,1871.306667
0x88fDFB78Eec28E49bE0b847537e6e8Cbf8756453,10880,3626.666667,1813.333333
0xb1CF31F7f5C544dBaaef69E54d2279D0442Acfb0,10560,3520,1760
0xc4919A5421a002ffbbee9B26B1503aEaF0b4038F,10041.6,3347.2,1673.6
0x7DC0c2995C3469161bec32A684CefA1c9a4Ea378,9920,3306.666667,1653.333333
0xfe9200389AaF6a33249B91113D3F2B663E7dAd2c,9920,3306.666667,1653.333333
0x46B31EB6138839C80fa9f1EFc938a6EB75E54cAE,9891.2,0,0
0x26B7A13c025d0035ceCb18e6E7057D41A176bED1,9736.524767,2925.508256,1462.754128
0xAC9dB806c43AC41148b490116F79CF3B15E16275,9600,0,0
0x00C6bC71Fe1493ce1Ac781b58F8D789fCE6526c8,9600,1600,800
0xB9c203C0bd9aBe00ecDf7E9614b411DE11b4348d,9600,3200,1600
0xB462f657819204FD4868e6344cc73E63EB76a935,9600,3200,1600
0xA04135fdF1aa087a63BEc683B6262245DBfBe9EF,9600,3200,1600
0xfcc984a00bc90Cba53978CB00287ebbeC9f2D8a7,9600,3200,1600
0x130983EE3C910207f6d580DC7AeB923c33efFbD4,8832,0,0
0xBb9F94caE5343b3daF105C7a75aAA3B46ca69994,8520.220067,2840.073356,1420.036678
0xFBa38e56b27A0Ea861bFcBc3a65D671Ccf9e152f,7883.68609,2627.895363,1313.947682
0x1C6BE73bbc4a7edf2465e7bAE75D34467E9b27dc,7360,2453.333333,1226.666667
0xfaDDAD5051B56e4CAF73DcedED9701acc1e5660e,7104,2368,0
0xb77F976ADC2F367a75b285f9E3F6E21e42188b04,6904.64,2301.546667,1150.773333
0x39B8Aa218DdB49789BFA0A662D10846bD1D04dBb,6752,2144,0
0x3aa9C5e31fE55F0F80aB1f35c0E5298a1fc8d102,6598.4,2199.466667,1099.733333
0x5E5668a2F945fdB12236e5777b59cC0891927365,6400,2133.333333,1066.666667
0x06ec03AF35a19Befd059f762978450e997EAe6B9,6400,2133.333333,1066.666667
0x86ECc56D85b5ACbBBbe7158297934D9D46f7136f,6400,2133.333333,1066.666667
0x2ED36F1F1C6d9Bad88D1411d9A4Dd64ce00bF8ea,6400,2133.333333,1066.666667
0xF93EDD71A7c0DA8dB7DC39094077eA60B0927Db5,6400,2133.333333,1066.666667
0xba322d20153b9aFCC8Fef760769daC8E70CcCB43,6400,2133.333333,1066.666667
0x2936d675F7798E002505EAB6325EF0a7bC0C117a,6400,2133.333333,1066.666667
0xCDdf43B03Dc312704DB5428FEd236b8A2D4CC3b6,6400,2133.333333,1066.666667
0x700668bE38C948B63aeF618dd642f4d8FA7bFC63,6400,2133.333333,1066.666667
0xF4F9C85e053E825eF77D861E9f6BB389CEd6f680,6400,2133.333333,1066.666667
0x699bB567E5d3Cb46d8f6A4C2581A7e3f2a3ec3C9,6400,2133.333333,1066.666667
0x36c1346E9E04D14a80A56abf0C9d163a21C3B4f2,6399.68,2133.226667,1066.613333
0x66a71Ba37A304db0f2DF7Ea3f54B0b2f1e0bc1C7,6379.84,2126.613333,1063.306667
0xBDfC936Ecfa7dA7828f82364C86E0bB1598A107d,6170.531647,2056.843882,1028.421941
0x5A154821E56acA087D83A5a14CaaF79107c86130,5488,1829.333333,914.6666667
0xBa88fAdc80C3Fbe8b680644A38A18cDBBeD7B010,5120,0,0
0x9bbDE0324537110ABC5A571F99c8A5AFcE63529E,5120,0,0
0x85B75B816d6c1fb4271dC6203EB5ECb3cB69eC50,4800,0,0
0x5563182BE5c2C5Af2c25839d1DbCddEFdA2D3f20,4576,661.3333333,330.6666667
